Fecha,Moneda_Base,Valor_MXN,Valor_EUR
2026-08-21,USD,16.898,0.85477
2026-08-24,USD,16.9282,0.85734
2026-08-25,USD,16.9467,0.85749
2026-08-26,USD,16.9309,0.85697
2026-08-27,USD,16.9732,0.85874
2026-08-28,USD,16.9481,0.85889
2026-08-31,USD,17.0083,0.86237
2026-09-01,USD,17.0009,0.86281
2026-09-02,USD,17.0008,0.86371
2026-09-03,USD,17.0119,0.86096
2026-09-04,USD,16.8991,0.86044
2026-09-07,USD,16.9121,0.86044
2026-09-08,USD,16.951,0.86103
2026-09-09,USD,16.9025,0.85822
2026-09-10,USD,16.9435,0.86088
2026-09-11,USD,16.9771,0.86266
2026-09-14,USD,17.0721,0.86573
2026-09-15,USD,17.1568,0.86663
2026-09-16,USD,17.1382,0.86678
2026-09-17,USD,17.1881,0.871
2026-09-18,USD,17.1776,0.8726
2026-09-21,USD,17.1917,0.87032
2026-09-22,USD,17.2491,0.87237
